date,partner,imports,exports,total
2020-10,Peru,463012111,62412192,525424303
2020-10,Spain,268326410,149608311,417934721
2020-10,Thailand,321617523,47393117,369010640
2020-10,Australia,190274572,171332843,361607415
2020-11,United States of America,22326811876,33132891563,55459703439
2020-11,China,7711199766,2129031338,9840231104
2020-11,Mexico,2957402961,656043847,3613446808
2020-11,United Kingdom,576160577,2733358877,3309519454
2020-11,Japan,1281430643,1142439599,2423870242
2020-11,Germany,1435079314,598208565,2033287879
2020-11,Italy,919358066,398776052,1318134118
2020-11,"Korea, South",914145154,372157320,1286302474
2020-11,France,596005959,345179839,941185798
2020-11,Viet Nam,854964632,79075131,934039763
2020-11,Netherlands,321389394,569525110,890914504
2020-11,India,489719188,351715782,841434970
2020-11,Brazil,593797911,161150330,754948241
2020-11,Switzerland,622845367,126131836,748977203
2020-11,Taiwan,508113658,160089551,668203209
2020-11,Spain,271302340,181125807,452428147
2020-11,Belgium,219436188,229633390,449069578
2020-11,Thailand,346478846,76015792,422494638
2020-11,Peru,295302334,90202556,385504890
2020-11,Australia,202216655,179687439,381904094
2020-12,United States of America,22338802294,33588048672,55926850966
2020-12,China,6925130503,2636090449,9561220952
2020-12,Mexico,2911237089,544403703,3455640792
2020-12,United Kingdom,675383520,2365280572,3040664092
2020-12,Japan,1248515702,1039243004,2287758706
2020-12,Germany,1535508880,441852295,1977361175
2020-12,"Korea, South",812105428,508995902,1321101330
2020-12,Italy,815032329,315500854,1130533183
2020-12,Netherlands,304748314,614459606,919207920
2020-12,France,491318562,306260813,797579375
2020-12,Switzerland,431455431,363671495,795126926
2020-12,Brazil,615980171,176507464,792487635
2020-12,Viet Nam,689184178,60793459,749977637
2020-12,Taiwan,500317759,236216369,736534128
2020-12,India,419905609,212916957,632822566
2020-12,Belgium,266329111,355713846,622042957
2020-12,Peru,423407123,91928652,515335775
2020-12,Spain,278286365,219817833,498104198
2020-12,Australia,225435905,164455256,389891161
2020-12,Thailand,326387751,54319483,380707234
2021-01,United States of America,20817633782,34302109582,55119743364
2021-01,China,6476531320,2190436290,8666967610
2021-01,Mexico,2576206948,682811475,3259018423
2021-01,United Kingdom,465362230,2050656799,2516019029
2021-01,Japan,1038849229,1026144103,2064993332
2021-01,Germany,1314017153,530389727,1844406880
2021-01,"Korea, South",780916236,396264848,1177181084
2021-01,Italy,759468404,231583849,991052253
2021-01,Viet Nam,763446435,47241307,810687742
2021-01,Switzerland,458044151,286725604,744769755
2021-01,Brazil,607918213,133089365,741007578
2021-01,Netherlands,212117367,497393865,709511232
2021-01,Taiwan,472592835,208830710,681423545
2021-01,France,413426203,231864420,645290623
2021-01,India,453945378,149339320,603284698
2021-01,Belgium,313657233,178326727,491983960
2021-01,Peru,375986786,46906113,422892899
2021-01,Spain,266552224,117385321,383937545
2021-01,Thailand,269079070,64898902,333977972
2021-01,Australia,164945569,135306184,300251753
2021-02,United States of America,22221935061,34487502097,56709437158
2021-02,China,5617260810,1897724147,7514984957
2021-02,Mexico,2451575481,567090154,3018665635
2021-02,United Kingdom,678192642,1639615914,2317808556
2021-02,Japan,1186447007,1084444875,2270891882
2021-02,Germany,1296818014,482441702,1779259716
2021-02,"Korea, South",691229596,359768047,1050997643
2021-02,Italy,699812929,201426978,901239907
2021-02,France,539205908,283178284,822384192
2021-02,Viet Nam,679887074,55048826,734935900
2021-02,Switzerland,402563891,258751691,661315582
2021-02,Taiwan,476495406,164881231,641376637
2021-02,Brazil,489963425,127418133,617381558
2021-02,Belgium,293590999,276204145,569795144
2021-02,India,376808946,174230088,551039034
2021-02,Netherlands,189635510,228310864,417946374
2021-02,Peru,295709869,94390784,390100653
2021-02,Spain,233949411,129859195,363808606
2021-02,Thailand,262256570,78672556,340929126
2021-02,Australia,114199799,132353398,246553197
2021-03,United States of America,27469536578,39676337339,67145873917
2021-03,China,7271710566,2711337154,9983047720
2021-03,Mexico,3056199915,816701169,3872901084
2021-03,Japan,1515177009,1088000310,2603177319
2021-03,Germany,1827324531,583721122,2411045653
2021-03,United Kingdom,749826084,1470276305,2220102389
2021-03,"Korea, South",969774900,647306025,1617080925
2021-03,Italy,811598837,251877191,1063476028
2021-03,France,700583528,316518100,1017101628
2021-03,Taiwan,579257283,288363872,867621155
2021-03,Netherlands,372464415,479666984,852131399
2021-03,Viet Nam,784487907,56994774,841482681
2021-03,India,500632459,204947574,705580033
2021-03,Spain,500801715,193080536,693882251
2021-03,Brazil,505076307,156099846,661176153
2021-03,Belgium,358055221,273757887,631813108
2021-03,Switzerland,420344705,184831126,605175831
2021-03,Australia,298494580,260386877,558881457
2021-03,Peru,344766866,130915831,475682697
2021-03,Thailand,326157684,89314254,415471938
2021-04,United States of America,24347688346,36347877145,60695565491
2021-04,China,6524216471,2330687997,8854904468
2021-04,Mexico,2664009965,636111012,3300120977
2021-04,Japan,1270366772,1102229044,2372595816
2021-04,Germany,1629422854,519109089,2148531943
2021-04,United Kingdom,662308157,1336200374,1998508531
2021-04,"Korea, South",908416644,516034483,1424451127
2021-04,Belgium,760694424,324336955,1085031379
2021-04,Italy,828090106,174857494,1002947600
2021-04,Taiwan,689159284,188719150,877878434
2021-04,Viet Nam,747164602,67413951,814578553
2021-04,France,514093443,271834923,785928366
2021-04,Switzerland,493495847,277106387,770602234
2021-04,India,507866601,224523851,732390452
2021-04,Brazil,585903222,142652508,728555730
2021-04,Netherlands,302837946,412126810,714964756
2021-04,Spain,356140419,248940965,605081384
2021-04,Australia,247950485,206870723,454821208
2021-04,Thailand,354894021,66791244,421685265
2021-04,Peru,320642653,67001009,387643662
2021-05,United States of America,23901552197,37075057486,60976609683
2021-05,China,6701310566,2615091309,9316401875
2021-05,Mexico,2938415497,696552215,3634967712
2021-05,Japan,1442417921,1152911319,2595329240
2021-05,Germany,1700987261,559664287,2260651548
2021-05,United Kingdom,709494474,1095409548,1804904022
2021-05,"Korea, South",928132427,571781770,1499914197
2021-05,Italy,995458468,240222935,1235681403
2021-05,Taiwan,728464599,322629325,1051093924
2021-05,Viet Nam,810625256,66899934,877525190
2021-05,Brazil,607155582,228082499,835238081
2021-05,France,547547323,205605955,753153278
2021-05,Belgium,308518009,420474962,728992971
2021-05,India,512213543,214901076,727114619
2021-05,Switzerland,422869948,292138017,715007965
2021-05,Spain,393386431,166477290,559863721
2021-05,Netherlands,281595425,265593013,547188438
2021-05,Thailand,368081161,75580979,443662140
2021-05,Australia,195248198,185729982,380978180
2021-05,Peru,268066081,69676654,337742735
2021-06,United States of America,25446837548,41509686363,66956523911
2021-06,China,6578184862,2720919956,9299104818
2021-06,Mexico,2847805999,713740977,3561546976
2021-06,Japan,1538378032,1290119623,2828497655
2021-06,Germany,1640281002,642332376,2282613378
2021-06,United Kingdom,726452909,1193252491,1919705400
2021-06,"Korea, South",830943113,536500590,1367443703
2021-06,France,859827586,336238130,1196065716
2021-06,Italy,907586852,207702136,1115288988
2021-06,Netherlands,471156414,523681337,994837751
2021-06,Viet Nam,778970770,64806890,843777660
2021-06,Brazil,562099026,227647007,789746033
2021-06,Taiwan,598807946,161145407,759953353
2021-06,Switzerland,457925217,258716667,716641884
2021-06,Belgium,463722925,240346598,704069523
2021-06,India,453792179,245699734,699491913
2021-06,Spain,349290018,222358731,571648749
2021-06,Thailand,336872112,98330713,435202825
2021-06,Peru,300202303,122629529,422831832
2021-06,Australia,199218707,177081769,376300476
2021-07,United States of America,25456677629,39513983246,64970660875
2021-07,China,6569250157,1925076082,8494326239
2021-07,Mexico,2553403199,773687043,3327090242
2021-07,Japan,1320440125,1393905591,2714345716
2021-07,United Kingdom,735149008,1561432296,2296581304
2021-07,Germany,1646537680,520756755,2167294435
2021-07,"Korea, South",842972363,473983514,1316955877
2021-07,Italy,929918789,158074606,1087993395
2021-07,France,591091614,433467284,1024558898
2021-07,Brazil,642818151,193286071,836104222
2021-07,Belgium,466898551,354439476,821338027
2021-07,India,499570573,306204805,805775378
2021-07,Viet Nam,763717937,41887533,805605470
2021-07,Netherlands,355040529,416442651,771483180
2021-07,Switzerland,496895522,236522188,733417710
2021-07,Taiwan,582582459,133365503,715947962
2021-07,Spain,334987257,148129811,483117068
